L1 A	L1 B	L1 C	L1 D	L2d A	L2d B	L2d C	L2d D	Mean Pop	Mean Dauer	Mean Time	Suitability
108.4795850120882	4.617579409661264E-4	5963.942007090918	1.0E-7	455.11937662360805	5.0E-4	40333.20870576397	4.5093664181713083E-4	1.0	1.0	49.0	1.0
0.0	5.0E-4	50000.0	1.0E-7	525.1034134031147	5.0E-4	46603.97916422921	4.6209613234804935E-4	11108.5	4953.0	264.91	4953.0
0.0	5.0E-4	32882.21461345991	1.0E-7	672.883032376154	5.0E-4	50000.0	1.0460498724850616E-4	1.0	1.0	49.0	1.0
0.0	4.482221803053158E-4	34713.43688947512	1.0E-7	181.83043061347703	5.0E-4	20863.235424606028	6.579064012766114E-5	15845.0	2823.0	247.35	2823.0
0.0	4.676190456531801E-4	0.0	1.0E-7	485.5108201027038	4.854336062911203E-4	19187.17053234279	1.2849443443068876E-4	1.0	1.0	49.0	1.0
0.0	4.590739640023136E-4	46204.0474117979	1.0E-7	335.5050796809073	5.0E-4	8894.276884974992	1.8559905879192274E-4	15940.0	2691.0	240.02	2691.0
0.0	5.0E-4	9721.482617431479	1.0E-7	112.50597499691722	5.0E-4	19532.802754562155	4.733965527292226E-4	22395.4	2894.2	241.77	2894.2
0.0	5.0E-4	21471.08058362557	1.0E-7	161.35940337028077	4.582795202288653E-4	23479.046098414234	2.69817780091977E-4	15910.0	2822.0	251.08	2822.0
0.0	4.938028234054408E-4	50000.0	1.0E-7	38.83618739538671	4.587716195624889E-4	39636.76880238897	4.801227722860063E-4	1.0	1.0	49.0	1.0
0.0	4.6006992268016314E-4	28137.635071589248	1.0E-7	348.521819859987	5.0E-4	12602.799840354914	1.5189466854838095E-4	1.0	1.0	49.0	1.0
0.0	4.816671957088145E-4	1562.2349849240618	1.0E-7	514.8670386550583	5.0E-4	35094.98605150482	1.2430103018718356E-4	1.0	1.0	49.0	1.0
0.0	4.96091413459983E-4	8023.569699363434	1.0E-7	393.41345160285164	5.0E-4	21254.78839228829	1.4636178632520793E-4	1.0	1.0	49.0	1.0
0.0	4.84480026137125E-4	10602.728942967035	1.0E-7	90.37129902001402	5.0E-4	41093.42784488952	3.183893149816372E-5	13344.2	2379.0	244.31	2379.0
0.0	5.0E-4	36580.8575613497	1.0E-7	476.1773931294131	5.0E-4	11497.183045244317	5.0E-4	22284.1	3112.35	230.73	3112.35
0.0	4.8113108823668314E-4	5180.03008863751	1.0E-7	651.7019655853102	5.0E-4	27774.431214189844	4.6695498362298146E-4	1.0	1.0	49.0	1.0
0.0	4.793547259191611E-4	33455.97806577047	1.0E-7	566.4242744414198	5.0E-4	39593.83878657745	2.0140475142155E-4	1.0	1.0	49.0	1.0
0.0	4.589457533032351E-4	46441.39560403651	1.0E-7	569.7301887904699	5.0E-4	31687.057529219364	1.7029483554062018E-4	13149.84	2883.6	254.44	2883.6
0.0	5.0E-4	24615.30289445196	1.0E-7	525.5728196260137	5.0E-4	25760.55901102908	1.52820640479958E-4	14705.95	2713.66	251.41	2713.66
0.0	4.5956971193469447E-4	18187.584819221902	1.0E-7	82.31609637840972	4.805804307394106E-4	40391.14355145023	1.189361561973917E-4	1.0	1.0	49.0	1.0
0.0	5.0E-4	43331.50556507849	1.0E-7	266.58661810367596	5.0E-4	34288.83856936352	9.059897856778403E-5	14282.51	2308.0	250.93	2308.0
