Time	Food	N2egg	N2L1	N2L2	N2L3	N2L4	N2L2d	N2dauer	N2D1adult	N2D2adult	N2D3adult	N2D4adult	N2 Pheromone
0.0	379207.8447741388	1	0	0	0	0	0	0	0	0	0	0	0.0
18.0	379207.8447741388	0	1	0	0	0	0	0	0	0	0	0	0.0
33.0	379191.3447741388	0	0	1	0	0	0	0	0	0	0	0	15.0
42.0	379171.36477413884	0	0	0	1	0	0	0	0	0	0	0	24.0
51.0	379137.79477413883	0	0	0	0	1	0	0	0	0	0	0	33.0
63.0	379071.79477413883	0	0	0	0	0	0	0	1	0	0	0	45.0
87.0	378778.99477413885	65	0	0	0	0	0	0	0	1	0	0	69.0
105.0	378559.39477413887	0	65	0	0	0	0	0	0	1	0	0	87.0
111.0	378057.19477413886	125	65	0	0	0	0	0	0	0	1	0	483.0
120.0	377303.89477413887	125	0	48	0	0	17	0	0	0	1	0	1077.0
129.0	375895.3947741389	0	125	48	0	0	17	0	0	0	1	0	1671.0
129.0	375895.3947741389	0	125	0	48	0	17	0	0	0	1	0	1671.0
135.0	373696.5147741389	80	125	0	48	0	17	0	0	0	0	1	2817.0
136.0	373330.03477413894	80	125	0	54	0	0	11	0	0	0	1	3008.0
138.0	372627.7947741389	80	125	0	6	48	0	11	0	0	0	1	3368.0
144.0	370011.31477413885	80	0	89	6	48	36	11	0	0	0	1	4448.0
145.0	369435.23477413884	80	0	89	0	54	36	11	0	0	0	1	4628.0
150.0	366501.73477413884	80	0	89	0	6	36	11	48	0	0	1	5528.0
153.0	363776.8347741389	0	80	89	0	6	36	11	48	0	0	1	6068.0
153.0	363776.8347741389	0	80	0	89	6	36	11	48	0	0	1	6068.0
157.0	359254.07477413886	0	80	0	89	0	36	11	54	0	0	1	7108.0
159.0	356912.2947741388	20	80	0	89	0	36	11	54	0	0	0	7628.0
160.0	355753.60477413883	20	80	0	101	0	0	35	54	0	0	0	7887.0
162.0	353506.5447741388	20	80	0	12	89	0	35	54	0	0	0	8357.0
168.0	345820.1847741388	20	0	52	12	89	28	35	54	0	0	0	9767.0
169.0	344449.5247741388	20	0	52	0	101	28	35	54	0	0	0	10002.0
174.0	337490.0247741388	20	0	52	0	12	28	35	143	0	0	0	11177.0
174.0	337490.0247741388	3140	0	52	0	12	28	35	95	48	0	0	11177.0
177.0	331525.42477413884	3140	0	0	52	12	28	35	95	48	0	0	11882.0
177.0	331525.42477413884	3120	20	0	52	12	28	35	95	48	0	0	11882.0
181.0	323170.5447741388	3120	20	0	52	0	28	35	107	48	0	0	12902.0
181.0	323170.5447741388	3510	20	0	52	0	28	35	101	54	0	0	12902.0
184.0	316663.1847741388	3510	20	0	60	0	0	55	101	54	0	0	13667.0
186.0	312389.5847741388	3510	20	0	8	52	0	55	101	54	0	0	14137.0
192.0	299016.54477413883	390	3140	0	8	52	0	55	101	54	0	0	15547.0
192.0	299016.54477413883	390	3120	12	8	52	8	55	101	54	0	0	15547.0
193.0	293333.3047741388	390	3120	12	0	60	8	55	101	54	0	0	18902.0
198.0	264846.3047741388	6390	3120	12	0	60	8	55	101	6	48	0	35677.0
198.0	264846.3047741388	12175	3120	12	0	60	8	55	12	95	48	0	35677.0
198.0	264846.3047741388	12175	3120	12	0	8	8	55	64	95	48	0	35677.0
199.0	258800.50477413874	11785	3510	12	0	8	8	55	64	95	48	0	39032.0
201.0	245850.90477413876	11785	3510	0	12	8	8	55	64	95	48	0	46522.0
205.0	219879.22477413874	12535	3510	0	12	8	8	55	64	89	54	0	61502.0
205.0	219879.22477413874	12535	3510	0	12	0	8	55	72	89	54	0	61502.0
205.0	219879.22477413874	13315	3510	0	12	0	8	55	60	101	54	0	61502.0
207.0	206786.18477413876	13315	390	269	12	0	2859	55	60	101	54	0	68992.0
208.0	196745.26477413875	13315	390	269	12	0	2851	63	60	101	54	0	72737.0
210.0	176698.94477413877	13315	390	269	0	12	2851	63	60	101	54	0	80211.0
214.0	136521.34477413876	13315	0	279	0	12	3231	63	60	101	54	0	95159.0
216.0	115558.94477413877	13315	0	10	269	12	3231	63	60	101	54	0	102633.0
216.0	115558.94477413877	7530	5785	10	269	12	3231	63	60	101	54	0	102633.0
216.0	115558.94477413877	1530	11785	10	269	12	3231	63	60	101	54	0	102633.0
