Time	Food	N2egg	N2L1	N2L2	N2L3	N2L4	N2L2d	N2dauer	N2D1adult	N2D2adult	N2D3adult	N2D4adult	N2 Pheromone
0.0	373604.1837463932	1	0	0	0	0	0	0	0	0	0	0	0.0
18.0	373604.1837463932	0	1	0	0	0	0	0	0	0	0	0	0.0
33.0	373587.6837463932	0	0	1	0	0	0	0	0	0	0	0	15.0
42.0	373567.7037463932	0	0	0	1	0	0	0	0	0	0	0	24.0
51.0	373534.1337463932	0	0	0	0	1	0	0	0	0	0	0	33.0
63.0	373468.1337463932	0	0	0	0	0	0	0	1	0	0	0	45.0
87.0	373175.3337463932	65	0	0	0	0	0	0	0	1	0	0	69.0
105.0	372955.73374639323	0	65	0	0	0	0	0	0	1	0	0	87.0
111.0	372453.5337463932	125	65	0	0	0	0	0	0	0	1	0	483.0
120.0	371700.23374639323	125	0	39	0	0	26	0	0	0	1	0	1077.0
129.0	370291.7337463933	0	125	39	0	0	26	0	0	0	1	0	1671.0
129.0	370291.7337463933	0	125	0	39	0	26	0	0	0	1	0	1671.0
135.0	368174.39374639327	80	125	0	39	0	26	0	0	0	0	1	2817.0
136.0	367821.5037463933	80	125	0	41	0	0	24	0	0	0	1	3008.0
138.0	367216.2437463933	80	125	0	2	39	0	24	0	0	0	1	3342.0
144.0	364986.2837463933	80	0	75	2	39	50	24	0	0	0	1	4344.0
145.0	364474.62374639325	80	0	75	0	41	50	24	0	0	0	1	4511.0
150.0	361898.62374639325	80	0	75	0	2	50	24	39	0	0	1	5346.0
153.0	359569.12374639325	0	80	75	0	2	50	24	39	0	0	1	5847.0
153.0	359569.12374639325	0	80	0	75	2	50	24	39	0	0	1	5847.0
157.0	355658.12374639325	0	80	0	75	0	50	24	41	0	0	1	6835.0
159.0	353675.82374639326	20	80	0	75	0	50	24	41	0	0	0	7329.0
160.0	352696.87374639325	20	80	0	76	0	0	73	41	0	0	0	7575.0
162.0	350953.51374639326	20	80	0	1	75	0	73	41	0	0	0	7969.0
168.0	344926.93374639325	20	0	47	1	75	33	73	41	0	0	0	9151.0
169.0	343832.9037463932	20	0	47	0	76	33	73	41	0	0	0	9348.0
174.0	338353.9037463932	20	0	47	0	1	33	73	116	0	0	0	10333.0
174.0	338353.9037463932	2555	0	47	0	1	33	73	77	39	0	0	10333.0
177.0	333559.00374639314	2555	0	0	47	1	33	73	77	39	0	0	10924.0
177.0	333559.00374639314	2535	20	0	47	1	33	73	77	39	0	0	10924.0
181.0	326793.9237463932	2535	20	0	47	0	33	73	78	39	0	0	11792.0
181.0	326793.9237463932	2665	20	0	47	0	33	73	76	41	0	0	11792.0
184.0	321700.01374639315	2665	20	0	47	0	0	106	76	41	0	0	12443.0
186.0	318450.59374639316	2665	20	0	0	47	0	106	76	41	0	0	12811.0
192.0	308203.19374639314	130	2555	0	0	47	0	106	76	41	0	0	13915.0
192.0	308203.19374639314	130	2535	12	0	47	8	106	76	41	0	0	13915.0
198.0	281090.3937463931	5005	2535	12	0	47	8	106	1	116	0	0	30229.0
198.0	281090.3937463931	5005	2535	12	0	0	8	106	48	116	0	0	30229.0
198.0	281090.3937463931	9880	2535	12	0	0	8	106	48	77	39	0	30229.0
199.0	276256.693746393	9750	2665	12	0	0	8	106	48	77	39	0	32948.0
201.0	266303.293746393	9750	2665	0	12	0	8	106	48	77	39	0	38646.0
205.0	246324.01374639306	10000	2665	0	12	0	8	106	48	75	41	0	50042.0
205.0	246324.01374639306	10065	2665	0	12	0	8	106	47	76	41	0	50042.0
207.0	236334.3737463931	10065	130	0	12	0	2543	106	47	76	41	0	55740.0
208.0	228500.35374639308	10065	130	0	12	0	2535	114	47	76	41	0	58589.0
210.0	212867.83374639312	10065	130	0	0	12	2535	114	47	76	41	0	64271.0
214.0	181517.8337463931	10065	0	0	0	12	2665	114	47	76	41	0	75635.0
216.0	165551.6337463931	5190	4875	0	0	12	2665	114	47	76	41	0	81317.0
216.0	165551.6337463931	315	9750	0	0	12	2665	114	47	76	41	0	81317.0
222.0	53303.03374639311	315	9750	0	0	0	2665	114	59	76	41	0	156863.0
222.0	53303.03374639311	3435	9750	0	0	0	2665	114	59	76	2	39	156863.0
222.0	53303.03374639311	12810	9750	0	0	0	2665	114	59	1	77	39	156863.0
222.0	53303.03374639311	15865	9750	0	0	0	2665	114	12	48	77	39	156863.0
223.0	34514.53374639311	15865	9750	0	0	0	130	2649	12	48	77	39	169454.0
223.0	34514.53374639311	15615	10000	0	0	0	130	2649	12	48	77	39	169454.0
223.0	34514.53374639311	15550	10065	0	0	0	130	2649	12	48	77	39	169454.0
